Filename	TierName	Annotation	Duration_msec	Onset_sec	Offset_sec
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1500.0	1507.400	1508.900
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1100.0	1526.440	1527.540
NEWCARD_01alter	LeftIndividualSpeech	any_type?	860.0	1528.900	1529.760
NEWCARD_01alter	LeftIndividualSpeech	number_type?	1020.0	1531.860	1532.880
NEWCARD_01alter	LeftIndividualSpeech	q_yes	1240.0	1586.840	1588.080
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	5540.0	1588.160	1593.700
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	2220.0	1604.320	1606.540
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1920.0	1609.660	1611.580
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1780.0	1623.000	1624.780
NEWCARD_01alter	LeftIndividualSpeech	any_type?	3540.0	1679.900	1683.440
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2600.0	1686.280	1688.880
NEWCARD_01alter	LeftIndividualSpeech	spec?	3100.0	1692.480	1695.580
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2810.0	1702.260	1705.070
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	7970.0	1718.970	1726.940
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2220.0	1754.920	1757.140
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1820.0	1758.820	1760.640
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	3980.0	1763.440	1767.420
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1380.0	1770.440	1771.820
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1010.0	1773.000	1774.010
NEWCARD_01alter	LeftIndividualSpeech	no_spec?	2200.0	1784.440	1786.640
NEWCARD_01alter	LeftIndividualSpeech	no_type?	1210.0	1787.440	1788.650
NEWCARD_01alter	LeftIndividualSpeech	no_spec?	1270.0	1790.310	1791.580
NEWCARD_01alter	LeftIndividualSpeech	q_no	540.0	1829.660	1830.200
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1700.0	1830.260	1831.960
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	1140.0	1838.100	1839.240
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2500.0	1854.200	1856.700
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2800.0	1856.800	1859.600
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2510.0	1922.190	1924.700
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1160.0	1929.960	1931.120
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1500.0	1937.760	1939.260
NEWCARD_01alter	LeftIndividualSpeech	spec_2?	3800.0	1949.520	1953.320
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1720.0	1956.960	1958.680
NEWCARD_01alter	LeftIndividualSpeech	number_type_declarative	2340.0	1964.540	1966.880
NEWCARD_01alter	LeftIndividualSpeech	spec_declarative?	2260.0	1975.900	1978.160
NEWCARD_01alter	LeftIndividualSpeech	number_type_declarative	1220.0	1978.840	1980.060
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1640.0	1980.830	1982.470
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1700.0	2004.860	2006.560
NEWCARD_01alter	LeftIndividualSpeech	no_type?	4440.0	2009.780	2014.220
NEWCARD_01alter	LeftIndividualSpeech	no_spec?	1580.0	2014.340	2015.920
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1560.0	2017.180	2018.740
NEWCARD_01alter	LeftIndividualSpeech	no_type?	1140.0	2027.500	2028.640
NEWCARD_01alter	LeftIndividualSpeech	no_type?	860.0	2028.720	2029.580
NEWCARD_01alter	LeftIndividualSpeech	q_no	780.0	2067.140	2067.920
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1980.0	2068.000	2069.980
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2460.0	2081.340	2083.800
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	2180.0	2096.620	2098.800
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	900.0	2101.620	2102.520
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2920.0	2102.680	2105.600
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2700.0	2105.740	2108.440
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1820.0	2123.020	2124.840
NEWCARD_01alter	LeftIndividualSpeech	any_type?	4300.0	2169.180	2173.480
NEWCARD_01alter	LeftIndividualSpeech	spec?	1340.0	2175.380	2176.720
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1140.0	2177.430	2178.570
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2140.0	2184.100	2186.240
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1240.0	2190.100	2191.340
NEWCARD_01alter	LeftIndividualSpeech	spec_2?	4160.0	2195.520	2199.680
NEWCARD_01alter	LeftIndividualSpeech	any_suit?	1920.0	2203.660	2205.580
NEWCARD_01alter	LeftIndividualSpeech	number_type?	1660.0	2211.980	2213.640
NEWCARD_01alter	LeftIndividualSpeech	number_type?	1000.0	2215.022	2216.022
NEWCARD_01alter	LeftIndividualSpeech	no_type?	880.0	2216.072	2216.952
NEWCARD_01alter	LeftIndividualSpeech	number_type_declarative	3080.0	2218.120	2221.200
NEWCARD_01alter	LeftIndividualSpeech	number_type_declarative	1480.0	2223.320	2224.800
NEWCARD_01alter	LeftIndividualSpeech	no_doubles?	1080.0	2224.960	2226.040
NEWCARD_01alter	LeftIndividualSpeech	spec?	1720.0	2231.700	2233.420
NEWCARD_01alter	LeftIndividualSpeech	q_yes	1600.0	2271.020	2272.620
NEWCARD_01alter	LeftIndividualSpeech	q_no	720.0	2283.960	2284.680
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1900.0	2294.280	2296.180
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1960.0	2300.400	2302.360
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2380.0	2311.060	2313.440
NEWCARD_01alter	LeftIndividualSpeech	spec?	5400.0	2367.720	2373.120
NEWCARD_01alter	LeftIndividualSpeech	spec_2?	3660.0	2378.940	2382.600
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	780.0	2384.740	2385.520
NEWCARD_01alter	LeftIndividualSpeech	any_doubles?	1840.0	2389.620	2391.460
NEWCARD_01alter	LeftIndividualSpeech	no_spec?	1600.0	2398.560	2400.160
NEWCARD_01alter	LeftIndividualSpeech	spec_2?	6360.0	2407.640	2414.000
NEWCARD_01alter	LeftIndividualSpeech	no_suit?	600.0	2415.740	2416.340
NEWCARD_01alter	LeftIndividualSpeech	no_suit?	1180.0	2416.720	2417.900
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1160.0	2419.800	2420.960
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	840.0	2423.020	2423.860
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1280.0	2429.500	2430.780
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1180.0	2433.200	2434.380
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1220.0	2438.000	2439.220
NEWCARD_01alter	LeftIndividualSpeech	number_type_declarative	880.0	2448.120	2449.000
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1740.0	2449.660	2451.400
NEWCARD_01alter	LeftIndividualSpeech	any_type?	920.0	2455.500	2456.420
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	2140.0	2519.260	2521.400
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	2480.0	2523.120	2525.600
